file,scene,split,kind,density_bucket,boxes,copies_in_export,split_in_export
CAM31-23-08-2022__03-32-09PMgt_jpg.jpg,CAM31-23-08-2022__03-32-09PMgt,train,unknown,d0-2,1,4,test
CAM31-23-08-2022__03-32-09PMgt_jpg__2.jpg,CAM31-23-08-2022__03-32-09PMgt,train,unknown,d0-2,1,3,train
Day_2102191726_P_Right_Back_Cut1_00206_jpg.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,3,2,train
Day_2102191726_P_Right_Back_Cut1_00206_jpg__2.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,3,3,train
Day_06101541_Right_Back_2_Cut1_00340_jpg.jpg,Day_06101541_Right_Back_2_Cut1,train,outdoor,d6-10,6,2,train
Day_06101541_Right_Back_2_Cut1_00340_jpg__2.jpg,Day_06101541_Right_Back_2_Cut1,train,outdoor,d6-10,6,2,valid
01-08-2022__10-31-40AM_jpg__2.jpg,01-08-2022__10-31-40AM,train,indoor,d0-2,2,2,train
25920_jpg.jpg,25920,test,unknown,d10+,11,4,train
25920_jpg__2.jpg,25920,test,unknown,d10+,11,2,train
040843_17_792729_jpg.jpg,040843_17,train,semi,d0-2,1,3,train
SJTU_SEIEE-182_330-02818_jpg.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,2,3,train
SJTU_SEIEE-182_330-02818_jpg__2.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,2,4,train
Day_2102191625_N_Right_Back_Cut1_00114_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,3,1,train
BridgeEntrance-006_00413_jpg.jpg,BridgeEntrance-006,test,outdoor,d3-5,3,2,train
01-08-2022__03-06-09PM_jpg.jpg,01-08-2022__03-06-09PM,train,indoor,d3-5,3,2,train
Day_2102191625_N_Right_Back_Cut1_00314_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,2,2,train
Day_02191732_Right_Back_Cut1_00071_jpg.jpg,Day_02191732_Right_Back_Cut1,train,outdoor,d6-10,7,1,train
Day_02191732_Right_Back_Cut1_00261_jpg.jpg,Day_02191732_Right_Back_Cut1,train,outdoor,d6-10,8,1,train
image_595_jpg.jpg,image,train,indoor,d3-5,5,3,train
BridgeEntrance-006_00413_jpg__2.jpg,BridgeEntrance-006,test,outdoor,d3-5,3,1,train
image_595_jpg__2.jpg,image,train,indoor,d3-5,5,1,train
img965796412810_jpg.jpg,img965796412810,train,unknown,d0-2,1,2,train
img965796412810_jpg__2.jpg,img965796412810,train,unknown,d0-2,1,2,valid
img965796412810_jpg__3.jpg,img965796412810,train,unknown,d0-2,1,1,valid
image_567_jpg.jpg,image,train,indoor,d3-5,4,2,test
image_567_jpg__2.jpg,image,train,indoor,d3-5,4,2,train
image_165_jpg.jpg,image,train,indoor,d3-5,7,4,train
img965796299420_jpg.jpg,img965796299420,test,unknown,d0-2,2,1,train
img965796299420_jpg__2.jpg,img965796299420,test,unknown,d0-2,2,1,train
01-08-2022__09-45-16AM_jpg.jpg,01-08-2022__09-45-16AM,val,indoor,d3-5,4,2,valid
Day_07141436_Right_Back_Cut1_00958_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,11,2,train
01-08-2022__09-45-16AM_jpg__2.jpg,01-08-2022__09-45-16AM,val,indoor,d3-5,4,1,valid
Day_06101541_Right_Back_2_Cut1_00570_jpg.jpg,Day_06101541_Right_Back_2_Cut1,train,outdoor,d6-10,9,2,valid
SeieeDept-037_00624_jpg.jpg,SeieeDept-037,train,outdoor,d0-2,1,2,train
SeieeDept-037_00624_jpg__2.jpg,SeieeDept-037,train,outdoor,d0-2,1,1,valid
image_454_jpg.jpg,image,train,indoor,d3-5,7,2,train
image_454_jpg__2.jpg,image,train,indoor,d3-5,7,1,train
CAM23-24-08-2022__09-16-11PMgt_jpg.jpg,CAM23-24-08-2022__09-16-11PMgt,train,unknown,d0-2,1,2,train
01-08-2022__11-50-53AM_jpg.jpg,01-08-2022__11-50-53AM,train,indoor,d0-2,1,3,train
01-08-2022__11-50-53AM_jpg__2.jpg,01-08-2022__11-50-53AM,train,indoor,d0-2,1,2,train
opencv_frame_13835_png_jpg.jpg,opencv_frame,train,indoor,d0-2,1,13,valid
Day_07141436_Right_Back_Cut1_00958_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,11,2,train
opencv_frame_13835_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,1,8,train
opencv_frame_13835_png_jpg__3.jpg,opencv_frame,train,indoor,d0-2,1,1,train
opencv_frame_13835_png_jpg__4.jpg,opencv_frame,train,indoor,d0-2,1,2,valid
Day_2102191726_P_Right_Back_Cut1_00096_jpg.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,2,4,test
Day_2102191726_P_Right_Back_Cut1_00096_jpg__2.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,2,1,valid
S1-T1-C-03020_jpeg_jpg.jpg,S1-T1-C-03020_jpeg,train,unknown,d3-5,3,4,test
S1-T1-C-03020_jpeg_jpg__2.jpg,S1-T1-C-03020_jpeg,train,unknown,d3-5,3,2,train
image_550_jpg.jpg,image,train,indoor,d3-5,5,5,train
image_550_jpg__2.jpg,image,train,indoor,d3-5,4,1,train
Day_07141436_Right_Back_Cut1_00128_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,3,3,valid
01-08-2022__12-25-43PM_jpg.jpg,01-08-2022__12-25-43PM,test,indoor,d3-5,4,1,train
Day_07141436_Right_Back_Cut1_00128_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,3,3,test
Day_07141436_Right_Back_Cut1_00758_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,10,2,train
Day_07141436_Right_Back_Cut1_00758_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,10,1,train
01-08-2022__12-53-27PM_jpg.jpg,01-08-2022__12-53-27PM,train,indoor,d0-2,1,3,test
01-08-2022__12-53-27PM_jpg__2.jpg,01-08-2022__12-53-27PM,train,indoor,d0-2,1,1,train
040841_01_715972_jpg.jpg,040841_01,train,semi,d0-2,1,4,train
040841_01_715972_jpg__2.jpg,040841_01,train,semi,d0-2,1,2,train
CrossRoad-001_00028_jpg.jpg,CrossRoad-001,val,outdoor,d0-2,4,1,train
CrossRoad-001_00028_jpg__2.jpg,CrossRoad-001,val,outdoor,d0-2,4,1,train
CAM36-23-08-2022__03-32-09PMgt_jpg.jpg,CAM36-23-08-2022__03-32-09PMgt,train,unknown,d0-2,2,4,train
01-08-2022__12-25-43PM_jpg__2.jpg,01-08-2022__12-25-43PM,test,indoor,d3-5,4,1,test
01-08-2022__10-25-55AM_jpg.jpg,01-08-2022__10-25-55AM,train,indoor,d3-5,5,4,test
SeieeDept-023_00844_jpg.jpg,SeieeDept-023,val,outdoor,d3-5,7,3,train
SeieeDept-023_00844_jpg__2.jpg,SeieeDept-023,val,outdoor,d3-5,7,4,valid
SeieeDept-036_00584_jpg.jpg,SeieeDept-036,train,outdoor,d0-2,1,1,train
01-08-2022__10-59-31AM_jpg.jpg,01-08-2022__10-59-31AM,test,indoor,d3-5,4,1,train
01-08-2022__10-59-31AM_jpg__2.jpg,01-08-2022__10-59-31AM,test,indoor,d3-5,4,2,train
Day_07141436_Right_Back_Cut1_00928_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,10,3,train
Day_07141436_Right_Back_Cut1_00928_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,10,3,train
01-08-2022__11-01-43AM_jpg.jpg,01-08-2022__11-01-43AM,train,indoor,d0-2,1,5,test
01-08-2022__11-01-43AM_jpg__2.jpg,01-08-2022__11-01-43AM,train,indoor,d0-2,1,2,train
00502_jpg.jpg,00502,test,unknown,d0-2,2,2,train
img965796327968_jpg.jpg,img965796327968,train,unknown,d6-10,8,3,train
img965796327968_jpg__2.jpg,img965796327968,train,unknown,d6-10,8,1,train
Day_2102191625_N_Right_Back_Cut1_00384_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,1,3,train
Day_2102191709_N_Right_Back_2_Cut1_00641_jpg.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,5,1,train
Day_2102191709_N_Right_Back_2_Cut1_00641_jpg__2.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,5,2,train
01-08-2022__03-23-00PM_jpg.jpg,01-08-2022__03-23-00PM,train,indoor,d3-5,3,2,train
Day_202102191756_P_Right_Back_Cut1_00685_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,6,2,train
Day_202102191756_P_Right_Back_Cut1_00685_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,6,1,train
Day_2102191709_N_Right_Back_Cut1_00269_jpg.jpg,Day_2102191709_N_Right_Back_Cut1,train,outdoor,d6-10,8,4,train
Day_2102191709_N_Right_Back_Cut1_00269_jpg__2.jpg,Day_2102191709_N_Right_Back_Cut1,train,outdoor,d6-10,8,1,train
Day_2102191709_N_Right_Back_2_Cut2_00210_jpg.jpg,Day_2102191709_N_Right_Back_2_Cut2,train,outdoor,d6-10,4,2,valid
00499_jpg.jpg,00499,train,unknown,d0-2,2,2,train
Day_202102191756_P_Right_Back_Cut1_00545_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,10,4,valid
Day_202102191756_P_Right_Back_Cut1_00545_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,10,1,test
Day_2102191709_N_Right_Back_2_Cut2_00090_jpg.jpg,Day_2102191709_N_Right_Back_2_Cut2,train,outdoor,d6-10,6,3,valid
CAM35-23-08-2022__06-33-28PMgt_jpg.jpg,CAM35-23-08-2022__06-33-28PMgt,train,unknown,d0-2,2,1,train
CAM35-23-08-2022__06-33-28PMgt_jpg__2.jpg,CAM35-23-08-2022__06-33-28PMgt,train,unknown,d0-2,2,3,train
image_700_jpg.jpg,image,train,indoor,d3-5,4,3,train
image_700_jpg__2.jpg,image,train,indoor,d3-5,4,3,train
Day_07141436_Right_Back_Cut1_01248_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,9,2,train
SeieeDept-023_00524_jpg.jpg,SeieeDept-023,val,outdoor,d3-5,4,2,train
SeieeDept-023_00524_jpg__2.jpg,SeieeDept-023,val,outdoor,d3-5,4,1,train
opencv_frame_13750_png_jpg.jpg,opencv_frame,train,indoor,d0-2,1,4,test
SeieeDept-023_00467_jpg.jpg,SeieeDept-023,val,outdoor,d3-5,2,3,train
CrossRoad-001_00116_jpg.jpg,CrossRoad-001,val,outdoor,d0-2,1,3,train
01-08-2022__09-29-45AM_jpg.jpg,01-08-2022__09-29-45AM,train,indoor,d3-5,4,3,train
01899_jpg.jpg,01899,train,unknown,d0-2,1,2,train
output_mp4-178_jpg.jpg,output_mp4,val,indoor,d0-2,2,3,train
output_mp4-178_jpg__2.jpg,output_mp4,val,indoor,d0-2,2,7,train
opencv_frame_13750_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,1,2,train
output_mp4-178_jpg__3.jpg,output_mp4,val,indoor,d0-2,2,2,train
output_mp4-178_jpg__4.jpg,output_mp4,val,indoor,d0-2,2,2,test
image_428_jpg.jpg,image,train,indoor,d3-5,5,2,train
image_428_jpg__2.jpg,image,train,indoor,d3-5,5,1,test
01981_jpg.jpg,01981,train,unknown,d0-2,1,4,train
01981_jpg__2.jpg,01981,train,unknown,d0-2,1,1,valid
BridgeEntrance-004_00468_jpg.jpg,BridgeEntrance-004,train,outdoor,d0-2,1,2,train
SeieeDept-015_00003_jpg.jpg,SeieeDept-015,train,outdoor,d0-2,6,3,train
SeieeDept-015_00003_jpg__2.jpg,SeieeDept-015,train,outdoor,d0-2,6,3,valid
Day_07141436_Right_Back_Cut1_00078_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,2,1,train
opencv_frame_13750_png_jpg__3.jpg,opencv_frame,train,indoor,d0-2,1,3,train
Day_07141436_Right_Back_Cut1_00078_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,3,1,train
00979_jpg.jpg,00979,train,unknown,d0-2,1,2,valid
00979_jpg__2.jpg,00979,train,unknown,d0-2,1,1,train
01-08-2022__10-50-15AM_jpg.jpg,01-08-2022__10-50-15AM,train,indoor,d3-5,5,5,train
SJTU_SEIEE-182_330-02794_jpg.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,2,3,train
SJTU_SEIEE-182_330-02794_jpg__2.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,2,2,valid
image_60_jpg.jpg,image_60,train,indoor,d3-5,4,1,train
Day_202102191756_P_Right_Back_Cut1_00045_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,6,1,train
image_445_jpg.jpg,image,train,indoor,d3-5,2,2,train
image_445_jpg__2.jpg,image,train,indoor,d3-5,2,1,valid
opencv_frame_13750_png_jpg__4.jpg,opencv_frame,train,indoor,d0-2,1,2,train
Day_2102191726_P_Right_Back_Cut1_00046_jpg.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,2,2,train
Day_2102191726_P_Right_Back_Cut1_00046_jpg__2.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,2,3,train
040843_16_605313_jpg.jpg,040843_16,train,semi,d0-2,1,2,train
6_png_jpg.jpg,6,train,unknown,d3-5,1,6,train
6_png_jpg__2.jpg,6,train,unknown,d3-5,5,5,train
CAM43-15-09-2022__09-53-14AMgt_jpg.jpg,CAM43-15-09-2022__09-53-14AMgt,val,unknown,d3-5,3,5,train
Day_2102191625_N_Right_Back_Cut1_00554_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,3,2,valid
img97360213180_jpg.jpg,img97360213180,train,unknown,d3-5,3,2,valid
img97360213180_jpg__2.jpg,img97360213180,train,unknown,d3-5,3,2,test
Day_2102191709_N_Right_Back_2_Cut1_00151_jpg.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,7,3,train
img96579671192_jpg.jpg,img96579671192,train,unknown,d3-5,3,3,train
Day_2102191709_N_Right_Back_2_Cut1_00151_jpg__2.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,7,2,valid
01822_jpg.jpg,01822,train,unknown,d0-2,2,4,train
01822_jpg__2.jpg,01822,train,unknown,d0-2,2,2,valid
image_48_jpg.jpg,image_48,train,indoor,d3-5,3,2,train
image_48_jpg__2.jpg,image_48,train,indoor,d3-5,3,1,train
00298_jpg.jpg,00298,train,unknown,d0-2,2,2,train
image_781_jpg.jpg,image,train,indoor,d3-5,7,2,valid
image_781_jpg__2.jpg,image,train,indoor,d3-5,7,2,train
output1_mp4-164_jpg.jpg,output1_mp4,train,unknown,d0-2,1,5,train
output1_mp4-164_jpg__2.jpg,output1_mp4,train,unknown,d0-2,1,1,train
img96579671192_jpg__2.jpg,img96579671192,train,unknown,d3-5,3,1,train
output1_mp4-164_jpg__3.jpg,output1_mp4,train,unknown,d0-2,1,1,train
output1_mp4-164_jpg__4.jpg,output1_mp4,train,unknown,d0-2,1,3,train
image_147_jpg.jpg,image,train,indoor,d3-5,5,1,train
image_751_jpg.jpg,image,train,indoor,d3-5,3,1,train
Day_202102191756_P_Right_Back_Cut1_00805_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,6,3,train
Day_202102191756_P_Right_Back_Cut1_00805_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,6,2,valid
00398_jpg.jpg,00398,train,unknown,d0-2,1,2,test
image_54_jpg.jpg,image_54,train,indoor,d3-5,4,2,train
image_54_jpg__2.jpg,image_54,train,indoor,d3-5,4,2,valid
image_478_jpg.jpg,image,train,indoor,d3-5,4,3,train
SJTU_SEIEE-182_330-02914_jpg.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,3,5,train
01-08-2022__09-37-29AM_jpg.jpg,01-08-2022__09-37-29AM,train,indoor,d3-5,3,3,train
opencv_frame_10800_png_jpg.jpg,opencv_frame,train,indoor,d0-2,2,4,test
opencv_frame_10800_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,2,2,train
opencv_frame_10800_png_jpg__3.jpg,opencv_frame,train,indoor,d0-2,2,2,valid
00847_jpg.jpg,00847,train,unknown,d0-2,1,3,train
00847_jpg__2.jpg,00847,train,unknown,d0-2,1,1,train
01-08-2022__08-31-08AM_jpg.jpg,01-08-2022__08-31-08AM,test,indoor,d3-5,4,1,train
01-08-2022__08-31-08AM_jpg__2.jpg,01-08-2022__08-31-08AM,test,indoor,d3-5,4,2,valid
img965796344777_jpg.jpg,img965796344777,val,unknown,d6-10,7,2,train
Day_06101541_Right_Back_2_Cut1_00260_jpg.jpg,Day_06101541_Right_Back_2_Cut1,train,outdoor,d6-10,4,4,train
img97360296372_jpg.jpg,img97360296372,train,unknown,d0-2,1,2,train
Day_06101541_Right_Back_2_Cut1_00260_jpg__2.jpg,Day_06101541_Right_Back_2_Cut1,train,outdoor,d6-10,4,2,train
01-08-2022__12-22-53PM_jpg.jpg,01-08-2022__12-22-53PM,train,indoor,d0-2,2,4,train
01-08-2022__12-22-53PM_jpg__2.jpg,01-08-2022__12-22-53PM,train,indoor,d0-2,2,2,train
Day_2102191709_N_Right_Back_2_Cut1_00721_jpg.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,6,3,train
Day_2102191709_N_Right_Back_2_Cut1_00721_jpg__2.jpg,Day_2102191709_N_Right_Back_2_Cut1,test,outdoor,d6-10,6,3,train
01785_jpg.jpg,01785,train,unknown,d0-2,1,3,valid
Day_2102191726_P_Right_Back_Cut1_00056_jpg.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,3,3,train
Day_2102191726_P_Right_Back_Cut1_00056_jpg__2.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,3,1,train
01-08-2022__12-53-28PM_jpg.jpg,01-08-2022__12-53-28PM,train,indoor,d0-2,1,3,train
01-08-2022__12-53-28PM_jpg__2.jpg,01-08-2022__12-53-28PM,train,indoor,d0-2,1,2,train
img97360296372_jpg__2.jpg,img97360296372,train,unknown,d0-2,1,3,valid
Day_08051212_Right_Back_Cut1_00053_jpg.jpg,Day_08051212_Right_Back_Cut1,test,outdoor,d0-2,1,4,train
img97360219548_jpg.jpg,img97360219548,train,unknown,d3-5,4,5,train
img97360219548_jpg__2.jpg,img97360219548,train,unknown,d3-5,4,2,test
SeieeDept-037_00382_jpg.jpg,SeieeDept-037,train,outdoor,d0-2,1,3,train
SeieeDept-022_00659_jpg.jpg,SeieeDept-022,train,outdoor,d0-2,2,3,train
SeieeDept-022_00659_jpg__2.jpg,SeieeDept-022,train,outdoor,d0-2,2,2,train
opencv_frame_19420_png_jpg.jpg,opencv_frame,train,indoor,d0-2,1,3,train
opencv_frame_19420_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,1,2,valid
opencv_frame_19420_png_jpg__3.jpg,opencv_frame,train,indoor,d0-2,1,1,train
Day_202102191756_P_Right_Back_Cut1_00265_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,5,3,train
Day_2102191709_N_Right_Back_2_Cut2_00210_jpg__2.jpg,Day_2102191709_N_Right_Back_2_Cut2,train,outdoor,d6-10,4,1,train
01-08-2022__12-04-51PM_jpg.jpg,01-08-2022__12-04-51PM,train,indoor,d0-2,2,4,test
Day_202102191756_P_Right_Back_Cut1_00265_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,5,1,train
01299_jpg.jpg,01299,train,unknown,d0-2,1,4,train
img973602181894_jpg.jpg,img973602181894,train,unknown,d3-5,3,2,train
img973602181894_jpg__2.jpg,img973602181894,train,unknown,d3-5,3,2,train
Day_07141436_Right_Back_Cut1_00618_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,7,3,train
Day_07141436_Right_Back_Cut1_00618_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,6,1,valid
Day_07141436_Right_Back_Cut1_01088_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,10,1,train
Day_07141436_Right_Back_Cut1_01088_jpg__2.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,8,1,train
image_576_jpg.jpg,image,train,indoor,d3-5,4,3,train
image_576_jpg__2.jpg,image,train,indoor,d3-5,4,3,train
01-08-2022__12-15-06PM_jpg.jpg,01-08-2022__12-15-06PM,train,indoor,d0-2,2,1,train
01-08-2022__08-38-49AM_jpg.jpg,01-08-2022__08-38-49AM,train,indoor,d0-2,2,5,train
040840_50_599205_jpg.jpg,040840_50,train,semi,d0-2,1,3,train
Day_202102191756_P_Right_Back_Cut1_00835_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,4,3,valid
Day_202102191756_P_Right_Back_Cut1_00835_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,4,1,test
opencv_frame_20075_png_jpg.jpg,opencv_frame,train,indoor,d0-2,1,7,train
opencv_frame_20075_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,1,3,train
image_413_jpg.jpg,image,train,indoor,d3-5,6,3,train
image_770_jpg.jpg,image,train,indoor,d3-5,4,3,valid
image_770_jpg__2.jpg,image,train,indoor,d3-5,4,1,test
CAM35-26-08-2022__05-14-47PMgt_jpg.jpg,CAM35-26-08-2022__05-14-47PMgt,train,unknown,d0-2,1,4,train
01-08-2022__12-15-06PM_jpg__2.jpg,01-08-2022__12-15-06PM,train,indoor,d0-2,2,1,train
image_408_jpg.jpg,image,train,indoor,d3-5,1,3,train
040840_51_770998_jpg.jpg,040840_51,train,semi,d0-2,1,2,train
040840_51_770998_jpg__2.jpg,040840_51,train,semi,d0-2,1,1,train
01-08-2022__08-45-01AM_jpg.jpg,01-08-2022__08-45-01AM,train,indoor,d0-2,1,2,valid
SeieeDept-051_00532_jpg.jpg,SeieeDept-051,train,outdoor,d0-2,1,2,train
img965796218462_jpg.jpg,img965796218462,val,unknown,d3-5,5,3,train
img965796218462_jpg__2.jpg,img965796218462,val,unknown,d3-5,5,2,valid
Day_07141436_Right_Back_Cut1_00238_jpg.jpg,Day_07141436_Right_Back_Cut1,train,outdoor,d6-10,3,1,train
opencv_frame_19410_png_jpg.jpg,opencv_frame,train,indoor,d0-2,1,3,train
opencv_frame_19410_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,1,1,train
01-08-2022__02-33-36PM_jpg.jpg,01-08-2022__02-33-36PM,train,indoor,d6-10,6,3,train
opencv_frame_19410_png_jpg__3.jpg,opencv_frame,train,indoor,d0-2,1,1,train
CAM46-15-09-2022__09-53-14AMgt_jpg.jpg,CAM46-15-09-2022__09-53-14AMgt,test,unknown,d0-2,2,1,train
CAM46-15-09-2022__09-53-14AMgt_jpg__2.jpg,CAM46-15-09-2022__09-53-14AMgt,test,unknown,d0-2,1,1,train
img965796435740_jpg.jpg,img965796435740,train,unknown,d3-5,5,3,test
img965796435740_jpg__2.jpg,img965796435740,train,unknown,d3-5,5,2,train
Day_2102191625_N_Right_Back_Cut1_00224_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,2,2,train
Day_2102191625_N_Right_Back_Cut1_00224_jpg__2.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,2,4,train
img97032436589_jpg.jpg,img97032436589,train,unknown,d0-2,2,2,train
img97032436589_jpg__2.jpg,img97032436589,train,unknown,d0-2,2,3,train
img97032436589_jpg__3.jpg,img97032436589,train,unknown,d0-2,2,3,test
BridgeEntrance-001_00260_jpg.jpg,BridgeEntrance-001,train,outdoor,d0-2,1,3,train
output_mp4-83_jpg.jpg,output_mp4-83,test,indoor,d0-2,2,9,train
output_mp4-83_jpg__2.jpg,output_mp4-83,test,indoor,d0-2,2,3,valid
output_mp4-83_jpg__3.jpg,output_mp4-83,test,indoor,d0-2,2,3,train
output_mp4-83_jpg__4.jpg,output_mp4-83,test,indoor,d0-2,2,1,test
01-08-2022__11-20-03AM_jpg.jpg,01-08-2022__11-20-03AM,val,indoor,d3-5,3,5,train
01-08-2022__11-20-03AM_jpg__2.jpg,01-08-2022__11-20-03AM,val,indoor,d3-5,3,1,test
img970324151024_jpg.jpg,img970324151024,train,unknown,d3-5,4,3,train
image_795_jpg.jpg,image,train,indoor,d3-5,6,2,train
image_795_jpg__2.jpg,image,train,indoor,d3-5,6,3,valid
SeieeDept-030_00922_jpg.jpg,SeieeDept-030,train,outdoor,d0-2,1,2,train
BridgeEntrance-001_00260_jpg__2.jpg,BridgeEntrance-001,train,outdoor,d0-2,1,1,valid
image_765_jpg.jpg,image,train,indoor,d3-5,5,2,train
Day_2102191625_N_Right_Back_Cut1_00144_jpg.jpg,Day_2102191625_N_Right_Back_Cut1,train,outdoor,d0-2,3,3,test
CAM15-15-09-2022__09-51-42AMgt_jpg.jpg,CAM15-15-09-2022__09-51-42AMgt,train,unknown,d0-2,1,5,valid
CAM15-15-09-2022__09-51-42AMgt_jpg__2.jpg,CAM15-15-09-2022__09-51-42AMgt,train,unknown,d0-2,1,1,train
output1_mp4-0_jpg.jpg,output1_mp4-0,test,unknown,d0-2,1,2,train
output1_mp4-0_jpg__2.jpg,output1_mp4-0,test,unknown,d0-2,1,1,train
